Trojan Nation, 1, 91, 112.92, 9, 2, 97.39, 8, 3, 103.78, 8.5, 3, 103.97, 8.5, 4, 1, 
Suddenbreakingnews, 2, 95, 110.14, 9, 2, 103.84, 8.5, 5, 105.14, 8.5, 1, 99.15, 8, 2, 5, 
Creator, 3, 95, 110.14, 9, 1, 103.84, 8.5, 3, 105.42, 8.5, 1, 105.75, 8.5, 2, 4, 
Mo Tom, 4, 95, 111.06, 9, 4, 103.94, 8.5, 3, 105.48, 8.5, 3, 96.78, 8, 1, 3, 
Gun Runner, 5, 100, 111.06, 9, 1, 103.94, 8.5, 1, 105.48, 8.5, 4, 104.69, 8.5, 1, 2, 
My Man Sam, 6, 100, 110.20, 9, 2, 104.92, 8.5, 2, 106.43, 8.5, 1, 71.93, 6, 5, 2, 
Oscar Nominated, 7, 87, 111.12, 9, 1, 89.63, 7.5, 1, 94.66, 7.5, 2, 101.63, 8, 2, 1, 
Lani, 8, 90, 118.41, 9.5, 1, 95.40, 8, 5, 97.40, 8, 1, 112.70, 8.5, 1, 4, 
Destin, 9, 97, 102.83, 8.5, 1, 103.67, 8.5, 1, 98.53, 8, 2, 83.54, 7, 1, 3, 
Whitmore, 10, 99, 110.14, 9, 3, 103.84, 8.5, 2, 105.14, 8.5, 2, 70.57, 6, 1, 0, 
Exaggerator, 11, 99, 109.66, 9, 1, 103.04, 8.5, 3, 80.71, 7, 2, 106.48, 8.5, 1, 4, 
Tom's Ready, 12, 91, 111.06, 9, 2, 103.94, 8.5, 7, 105.48, 8.5, 4, 96.78, 8, 2, 2, 
Nyquist, 13, 103, 109.11, 9, 1, 80.71, 7, 1, 103.79, 8.5, 1, 104.98, 8.5, 1, 6, 
Mohaymen, 14, 103, 109.11, 9, 4, 102.84 , 8.5, 1, 102.07, 8.5, 1, 110.69, 9, 1, 5, 
Outwork, 15, 96, 112.92, 9, 1, 102.82, 8.5, 2, 71.08, 6, 1, 52.79, 4.5, 1, 4, 
Shagaf, 16, 99, 112.92, 9, 5, 105.90, 9, 1, 97.21, 8, 1, 97.61, 8, 1, 3, 
Mor Spirit, 17, 102, 109.66, 9, 2, 103.04, 8.5, 2, 103.21, 8.5, 1, 103.54, 8.5, 1, 5, 
Majesto, 18, 95, 109.11, 9, 2, 104.00, 8.5, 1, 111.10, 9, 3, 104.64, 8.5, 2, 2, 
Brody's Cause, 19, 86, 110.20, 9, 1, 103.79, 8.5, 3, 103.27, 8.5, 1, 99.64, 8, 1, 1, 
Danzing Candy, 20, 98, 109.66, 9, 4, 103.04, 8.5, 1, 96.73, 8, 1, 82.84, 7, 1, 3, 
Laoban, 21, 93, 110.20, 9, 4, 105.90, 8.5, 2, 98.00, 8, 3, 96.39, 8, 2, 0, 
Cherry Wine, 22, 90, 110.20, 9, 3, 103.84, 8.5, 4, 104.36, 8.5, 1, 106.83, 8.5, 1, 0, 
